date;testes;positif;gueris;commun;contact;import;deces;vaccines
02/03/2020;1;1;0;0;0;1;0;0
03/03/2020;1;1;0;0;0;1;0;0
04/03/2020;2;2;0;0;1;1;0;0
05/03/2020;10;0;0;0;0;0;0;0
06/03/2020;2;0;1;0;0;0;0;0
07/03/2020;2;0;0;0;0;0;0;0
08/03/2020;2;0;0;0;0;0;0;0
09/03/2020;6;0;0;0;0;0;0;0
10/03/2020;1;0;0;0;0;0;0;0
11/03/2020;8;1;0;0;0;1;0;0
12/03/2020;6;5;1;0;5;0;0;0
13/03/2020;11;11;1;0;11;0;0;0
14/03/2020;3;3;0;0;1;2;0;0
15/03/2020;2;2;0;0;1;1;0;0
16/03/2020;9;1;0;0;0;1;0;0
17/03/2020;44;5;2;0;1;3;0;0
18/03/2020;27;5;0;0;2;3;0;0
19/03/2020;22;2;3;0;0;2;0;0
20/03/2020;56;9;0;0;5;4;0;0
21/03/2020;31;9;0;3;1;5;0;0
22/03/2020;85;11;0;0;6;5;0;0
23/03/2020;60;12;3;4;2;6;0;0
24/03/2020;59;7;0;0;4;3;0;0
25/03/2020;142;13;1;0;8;5;0;0
26/03/2020;130;6;0;0;1;5;0;0
27/03/2020;144;14;2;1;2;11;0;0
28/03/2020;98;11;7;1;8;2;0;0
29/03/2020;151;12;9;0;8;4;0;0
30/03/2020;87;20;1;1;14;5;0;0
31/03/2020;97;13;12;0;12;1;1;0
01/04/2020;195;15;5;0;14;1;0;0
02/04/2020;127;5;10;0;3;2;0;0
03/04/2020;153;12;11;0;5;7;1;0
04/04/2020;177;12;6;1;10;1;0;0
05/04/2020;92;3;10;1;2;0;0;0
06/04/2020;95;4;10;1;3;0;0;0
07/04/2020;110;11;13;2;9;0;0;0
08/04/2020;108;7;8;5;2;0;0;0
09/04/2020;199;6;10;0;6;0;0;0
10/04/2020;195;15;14;0;15;0;0;0
11/04/2020;173;13;15;1;12;0;0;0
12/04/2020;104;2;19;1;1;0;0;0
13/04/2020;144;11;7;1;10;0;0;0
14/04/2020;272;8;5;2;6;0;0;0
15/04/2020;227;15;7;1;14;0;0;0
16/04/2020;435;21;4;2;19;0;0;0
17/04/2020;287;7;4;2;5;0;1;0
18/04/2020;226;8;13;5;3;0;0;0
19/04/2020;313;17;9;2;15;0;1;0
20/04/2020;281;10;15;5;5;0;1;0
21/04/2020;466;35;7;1;34;0;1;0
22/04/2020;482;30;11;4;26;0;0;0
23/04/2020;387;37;4;8;29;0;0;0
24/04/2020;528;66;5;5;61;0;1;0
25/04/2020;703;69;14;6;63;0;1;0
26/04/2020;579;57;7;9;47;1;1;0
27/04/2020;677;64;1;14;50;0;0;0
28/04/2020;873;87;12;1;86;0;0;0
29/04/2020;677;59;19;14;50;0;0;0
30/04/2020;1161;51;19;11;40;0;0;0
01/05/2020;901;91;22;3;88;0;1;0
02/05/2020;1190;91;12;4;87;0;0;0
03/05/2020;810;67;4;5;62;0;1;0
04/05/2020;807;89;43;3;86;0;1;0
05/05/2020;702;58;55;4;54;0;1;0
06/05/2020;1182;104;23;4;100;0;1;0
07/05/2020;1027;59;69;8;51;0;1;0
08/05/2020;872;59;49;7;52;0;1;0
09/05/2020;848;83;32;14;69;0;2;0
10/05/2020;1356;75;7;5;70;0;2;0
11/05/2020;917;177;65;8;169;0;1;0
12/05/2020;1099;109;27;2;107;0;0;0
13/05/2020;920;110;40;8;102;0;2;0
14/05/2020;992;84;60;11;73;0;1;0
15/05/2020;1128;121;48;2;119;0;2;0
16/05/2020;989;119;59;11;108;0;0;0
17/05/2020;816;51;24;4;47;0;1;0
18/05/2020;1172;64;103;5;59;0;1;0
19/05/2020;930;73;57;5;68;0;2;0
20/05/2020;1042;97;53;14;83;0;0;0
21/05/2020;1215;98;65;6;92;0;3;0
22/05/2020;1199;97;60;14;83;0;0;0
23/05/2020;934;67;105;16;49;2;2;0
24/05/2020;889;71;40;4;66;1;0;0
25/05/2020;1091;83;59;4;79;0;1;0
26/05/2020;551;31;50;3;28;0;2;0
27/05/2020;961;92;21;12;80;0;1;0
28/05/2020;991;95;100;9;86;0;2;0
29/05/2020;1236;81;52;13;66;2;1;0
30/05/2020;1370;106;42;12;94;0;0;0
31/05/2020;1024;110;40;12;98;0;0;0
01/06/2020;1820;94;57;10;84;0;1;0
02/06/2020;1339;97;96;20;77;0;2;0
03/06/2020;1549;96;109;16;80;0;0;0
04/06/2020;1348;89;99;15;74;0;0;0
05/06/2020;1700;134;114;30;104;0;2;0
06/06/2020;1166;94;236;3;87;4;2;0
07/06/2020;1266;79;76;11;68;0;0;0
08/06/2020;1010;99;111;9;88;2;3;0
09/06/2020;1402;89;110;17;61;1;0;0
10/06/2020;1205;124;76;15;109;0;3;0
11/06/2020;1164;119;109;17;102;0;1;0
12/06/2020;1005;92;106;18;74;0;4;0
13/06/2020;1378;145;128;19;99;27;0;0
14/06/2020;1223;94;116;14;79;1;0;0
15/06/2020;1254;83;80;19;64;0;4;0
16/06/2020;999;74;101;10;64;0;6;0
17/06/2020;970;122;81;11;111;0;3;0
18/06/2020;1406;106;110;13;93;0;3;0
19/06/2020;1617;164;72;16;148;0;3;0
20/06/2020;1247;144;71;20;123;1;3;0
21/06/2020;978;105;60;11;94;0;2;0
22/06/2020;1040;82;34;13;65;4;2;0
23/06/2020;1045;64;93;13;51;0;3;0
24/06/2020;987;95;26;15;77;3;4;0
25/06/2020;985;104;70;29;75;0;1;0
26/06/2020;1057;121;31;27;79;15;4;0
27/06/2020;1009;105;62;84;21;0;4;0
28/06/2020;1179;127;36;21;104;2;3;0
29/06/2020;956;112;50;13;99;0;3;0
30/06/2020;1274;95;90;11;79;5;4;0
01/07/2020;907;132;114;17;114;1;4;0
02/07/2020;1160;129;54;33;96;0;5;0
03/07/2020;1078;110;67;29;80;1;4;0
04/07/2020;959;108;47;22;86;0;4;0
05/07/2020;756;128;157;34;92;2;4;0
06/07/2020;838;78;39;26;52;0;3;0
07/07/2020;693;69;114;23;43;3;1;0
08/07/2020;788;110;74;23;87;0;4;0
09/07/2020;970;127;72;13;113;1;2;0
10/07/2020;868;98;142;17;81;0;2;0
11/07/2020;790;132;70;41;91;0;0;0
12/07/2020;1108;121;65;96;24;1;3;0
13/07/2020;710;63;68;13;50;0;2;0
14/07/2020;764;45;66;10;33;2;0;0
15/07/2020;804;126;25;34;90;2;3;0
16/07/2020;1173;112;130;28;84;0;3;0
17/07/2020;1074;63;74;25;34;4;4;0
18/07/2020;790;125;50;49;76;0;3;0
19/07/2020;712;141;89;45;96;0;4;0
20/07/2020;639;138;54;41;97;0;3;0
21/07/2020;369;37;42;9;27;1;4;0
22/07/2020;1244;136;64;35;101;0;3;0
23/07/2020;1170;145;62;26;119;0;1;0
24/07/2020;1602;156;121;34;122;0;4;0
25/07/2020;1315;130;73;25;105;0;5;0
26/07/2020;1367;129;45;13;116;0;4;0
27/07/2020;1083;83;68;19;64;0;3;0
28/07/2020;824;41;114;8;33;0;4;0
29/07/2020;1963;156;64;28;128;0;2;0
30/07/2020;1547;145;70;29;116;0;4;0
31/07/2020;1374;126;51;18;116;0;1;0
01/08/2020;850;52;46;14;38;0;4;0
02/08/2020;915;60;16;12;48;0;0;0
03/08/2020;946;42;63;6;36;0;2;0
04/08/2020;1078;46;19;27;19;0;3;0
05/08/2020;1241;106;68;27;77;2;4;0
06/08/2020;1917;177;113;18;159;0;5;0
07/08/2020;1711;172;85;82;90;0;2;0
08/08/2020;1576;116;143;53;63;0;4;0
09/08/2020;1656;172;23;113;59;0;3;0
10/08/2020;1402;137;38;72;64;1;4;0
11/08/2020;876;68;59;39;29;0;2;0
12/08/2020;1842;207;74;115;92;0;4;0
13/08/2020;1730;153;49;106;47;0;2;0
14/08/2020;1952;132;43;80;52;0;5;0
15/08/2020;1886;160;22;91;67;2;2;0
16/08/2020;1317;130;40;63;67;0;2;0
17/08/2020;1049;75;51;38;37;0;3;0
18/08/2020;926;68;39;25;41;2;0;0
19/08/2020;1463;141;110;83;58;0;2;0
20/08/2020;1519;113;173;59;53;1;3;0
21/08/2020;1421;130;115;73;55;2;1;0
22/08/2020;1552;161;168;61;100;0;4;0
23/08/2020;1250;99;122;62;36;1;3;0
24/08/2020;812;64;140;28;36;0;3;0
25/08/2020;816;43;120;14;29;0;2;0
26/08/2020;1384;130;137;55;74;1;1;0
27/08/2020;1242;108;122;49;59;0;2;0
28/08/2020;1250;90;117;40;50;0;2;0
29/08/2020;1328;72;142;32;39;1;3;0
30/08/2020;1276;100;155;38;60;2;2;0
31/08/2020;1090;55;51;18;34;3;0;0
01/09/2020;944;44;45;18;25;1;0;0
02/09/2020;1187;88;22;45;42;1;3;0
03/09/2020;1032;83;47;41;42;0;0;0
04/09/2020;1346;55;170;24;31;0;2;0
05/09/2020;1313;67;128;40;27;0;1;0
06/09/2020;1166;39;71;24;15;0;0;0
07/09/2020;1052;27;115;10;17;0;1;0
08/09/2020;788;30;51;11;18;1;1;0
09/09/2020;1317;58;88;21;36;1;1;0
10/09/2020;933;48;31;20;27;1;0;0
11/09/2020;1261;43;143;17;22;4;0;0
12/09/2020;1093;44;23;17;26;1;2;0
13/09/2020;1206;43;147;25;16;2;2;0
14/09/2020;852;26;43;17;9;0;0;0
15/09/2020;727;15;129;5;9;1;1;0
16/09/2020;1169;39;64;18;21;0;1;0
17/09/2020;1312;50;167;23;27;0;1;0
18/09/2020;1154;27;128;19;8;0;1;0
19/09/2020;1334;43;102;26;15;2;1;0
20/09/2020;1224;26;107;12;10;4;0;0
21/09/2020;997;24;198;9;15;0;0;0
22/09/2020;853;21;163;10;5;6;0;0
23/09/2020;1005;36;97;26;10;0;1;0
24/09/2020;1055;21;100;12;8;1;1;0
25/09/2020;1170;23;92;15;7;1;0;0
26/09/2020;1141;30;118;18;9;3;2;0
27/09/2020;1295;40;85;29;10;1;2;0
28/09/2020;929;10;118;6;3;1;1;0
29/09/2020;920;26;104;11;7;8;1;0
30/09/2020;1266;37;102;22;15;0;1;0
01/10/2020;1351;37;101;13;19;5;0;0
02/10/2020;1213;32;156;23;5;4;1;0
03/10/2020;1337;17;57;10;7;0;0;0
04/10/2020;1131;26;54;17;8;1;0;0
05/10/2020;929;28;65;11;3;14;0;0
06/10/2020;777;19;66;9;3;7;0;0
07/10/2020;1042;33;62;16;10;7;1;0
08/10/2020;987;16;70;11;3;2;0;0
09/10/2020;1059;23;68;11;10;2;0;0
10/10/2020;1177;31;62;13;16;2;1;0
11/10/2020;1091;24;99;18;5;1;0;0
12/10/2020;639;24;93;9;8;7;1;0
13/10/2020;924;15;118;7;2;6;0;0
14/10/2020;1293;24;36;17;1;6;0;0
15/10/2020;1105;17;66;7;5;5;0;0
16/10/2020;1084;20;67;14;5;1;1;0
17/10/2020;982;24;52;10;11;3;0;0
18/10/2020;1156;26;58;16;7;3;0;0
19/10/2020;829;14;51;4;3;7;2;0
20/10/2020;816;27;57;9;0;18;1;0
21/10/2020;1010;25;53;13;7;5;1;0
22/10/2020;899;24;51;5;12;7;0;0
23/10/2020;1379;17;56;6;7;4;0;0
24/10/2020;937;18;79;12;6;0;0;0
25/10/2020;1017;8;93;5;3;0;0;0
26/10/2020;576;14;62;7;2;5;1;0
27/10/2020;453;6;121;2;3;1;0;0
28/10/2020;721;11;128;7;3;1;0;0
29/10/2020;689;11;95;6;5;0;1;0
30/10/2020;805;12;72;8;4;0;0;0
31/10/2020;954;11;121;8;3;0;1;0
01/11/2020;1038;14;105;8;4;2;1;0
02/11/2020;653;7;101;5;2;0;0;0
03/11/2020;400;3;90;3;0;0;1;0
04/11/2020;769;10;96;5;5;0;0;0
05/11/2020;740;18;28;8;10;0;0;0
06/11/2020;768;8;21;5;2;1;0;0
07/11/2020;968;17;23;13;4;0;0;0
08/11/2020;797;15;19;11;4;0;0;0
09/11/2020;544;3;13;1;2;0;0;0
10/11/2020;597;9;17;7;0;2;0;0
11/11/2020;738;15;20;12;3;0;0;0
12/11/2020;713;9;0;8;1;0;0;0
13/11/2020;649;11;14;8;3;0;0;0
14/11/2020;1069;24;7;14;9;1;1;0
15/11/2020;862;14;9;7;7;0;1;0
16/11/2020;608;8;5;4;2;2;1;0
17/11/2020;551;5;4;4;1;0;0;0
18/11/2020;786;17;8;9;8;0;0;0
19/11/2020;800;12;7;8;4;0;0;0
20/11/2020;794;13;12;7;5;1;1;0
21/11/2020;794;17;13;6;11;0;0;0
22/11/2020;891;17;23;10;7;0;0;0
23/11/2020;684;15;28;11;4;0;0;0
24/11/2020;524;11;11;6;5;0;1;0
25/11/2020;749;19;13;8;11;0;1;0
26/11/2020;959;33;18;19;14;0;0;0
27/11/2020;921;21;11;10;11;0;1;0
28/11/2020;1050;46;13;31;15;0;0;0
29/11/2020;1029;48;15;26;22;0;0;0
30/11/2020;772;14;10;9;5;0;0;0
